F:\DEV\Labo\Demos\HarrGenerator\Images\positives_Out\positive01.jpg 1 114 447 168 162
F:\DEV\Labo\Demos\HarrGenerator\Images\positives_Out\positive02.jpg 1 22 506 161 167
F:\DEV\Labo\Demos\HarrGenerator\Images\positives_Out\positive03.jpg 1 214 4 164 162
F:\DEV\Labo\Demos\HarrGenerator\Images\positives_Out\positive04.jpg 1 443 357 164 162
F:\DEV\Labo\Demos\HarrGenerator\Images\positives_Out\positive05.jpg 1 437 365 162 165
F:\DEV\Labo\Demos\HarrGenerator\Images\positives_Out\positive06.jpg 1 336 474 161 160
F:\DEV\Labo\Demos\HarrGenerator\Images\positives_Out\positive07.jpg 1 47 243 161 159
F:\DEV\Labo\Demos\HarrGenerator\Images\positives_Out\positive08.jpg 1 265 111 166 163
F:\DEV\Labo\Demos\HarrGenerator\Images\positives_Out\positive09.jpg 1 968 278 162 159
F:\DEV\Labo\Demos\HarrGenerator\Images\positives_Out\positive10.jpg 1 522 32 168 166
F:\DEV\Labo\Demos\HarrGenerator\Images\positives_Out\positive11.jpg 1 584 376 167 166
F:\DEV\Labo\Demos\HarrGenerator\Images\positives_Out\positive12.jpg 1 121 205 168 167
F:\DEV\Labo\Demos\HarrGenerator\Images\positives_Out\positive13.jpg 1 2 176 164 165
F:\DEV\Labo\Demos\HarrGenerator\Images\positives_Out\positive14.jpg 1 91 271 169 166
F:\DEV\Labo\Demos\HarrGenerator\Images\positives_Out\positive15.jpg 1 594 243 170 159
F:\DEV\Labo\Demos\HarrGenerator\Images\positives_Out\positive16.jpg 1 459 13 162 168
F:\DEV\Labo\Demos\HarrGenerator\Images\positives_Out\positive17.jpg 1 516 26 170 167
F:\DEV\Labo\Demos\HarrGenerator\Images\positives_Out\positive18.jpg 1 207 324 167 162
F:\DEV\Labo\Demos\HarrGenerator\Images\positives_Out\positive19.jpg 1 567 41 167 163
F:\DEV\Labo\Demos\HarrGenerator\Images\positives_Out\positive20.jpg 1 535 308 168 159
F:\DEV\Labo\Demos\HarrGenerator\Images\positives_Out\positive21.jpg 1 60 122 167 160
F:\DEV\Labo\Demos\HarrGenerator\Images\positives_Out\positive22.jpg 1 538 275 161 167
F:\DEV\Labo\Demos\HarrGenerator\Images\positives_Out\positive23.jpg 1 547 12 162 165
F:\DEV\Labo\Demos\HarrGenerator\Images\positives_Out\positive24.jpg 1 319 399 166 162
